Sample,Label
fleming collection car see colins ready leave im way trehearne said extended hand rand need hashing feel hadnt offer kendall would u stopped dead river five hundred dollar deader fact stephen gresham carrying packagefilled orange crate joined setting burden wife daughter another crate halted beside havent got stuff packed yet jeff gresham asked jeffs helping everybody else irene gresham burst come everybody let go help jeff pack youre going dinner u arent jeff oh sorry detail clear im dinner mr fleming rand regretted ill pack stuff later mr jarrett mr trehearne gladys came one one rest group converged upon goodby said promise meet given parted one one car moved slowly driveway road gladys rand standing foot front step gingerbreadbrown butler left party negro chuckled gathering three empty pasteboard carton telescoping together dinnerll ready half hour mr fleming shall go mix cocktail yes reuben drawingroom watched servant carry discarded container around,Murder in the Gunroom.txt
name karen lawrence window pulled curb got crossing sidewalk went step door entering jangling springmounted cowbell girl dealer inside visitor sallowfaced untidylooking man indeterminate age opening newspaperwrapped package tabletop karen greeted rand name military rank rand told hed look around till tossed look comic reproach though counted rid man package look thishere miss lawrence man enthusing undoing another package here something know youll want think thishere real quaint look displayed long narrow dark object holding aint thishere interestin item miss lawrence ooooooh heaven name thing demanded thattheres sword real african native sword look scabbard made real crocodileskin whole young crocodile head foot tell miss lawrence thatthere item unique revolting repulsive object thats ever brought shop saying quite lot colonel rand dont hangover morning please come look thing rand laid merril carbine examining walked beside karen manwhom rand judged rural freelance antiqueprospectorextended object girl repugnance african sword right plain iron hilt,Murder in the Gunroom.txt
uhuh hed gotten away hadnt job told ritter picked revolver holstered glance assured fred dunmore beyond action sort laid squarebutt detective special floor beside right dave said nobody going chance bamboozle jury acquitting thought recent conversation humphrey goode right repeated fred heard varcek behind say lying evidence goode czech came stood beside rand looking body late brotherinlaw tell story shoot u together general reason rand explained two pistol planned doublekilling u dead youd murderer id martyr lawandorder hed clear varcek regarded dead man distaste surprise evidently experience hitler europe left illusion sanctity human life extent human perfidy ritter holstered beretta got cigarette hope didnt leave lighter upstairs told rand rand produced snapped holding flame assistant dave lectured perfect butler always lighter good working order lighting mawster part duty remember next time buttling job ritter leaned forward light dunmore better shot right hand left commented didnt come within yard scored twelveoclock,Murder in the Gunroom.txt
dance brother park spiller burrthere leech rigdon tapped cylinder finger wasnt one thing killed lane fleming asked leech rigdon im told cabot hesitated jeff saw revolver four hour fleming shot hand looked carefully shook head absolutely loaded empty rust chamber hell get shot rand wanted know couldnt say im telling didnt get shot thursday id come halfway town remembered hadnt bought copy time stopped biddles drugstore village one getting car outside lane fleming drove saw blew horn waved revolver hand went looked told hed found hanging back counter barbecuestand road rosemont join route pistol went see later trash leech rigdon decent thing fleming talked fellow ten dollar disgustingly gleeful particularly better specimen mine would know saw rand asked yes remember serial always look serial confederate arm highest known serial number leech rigdon one rand pulled revolver pantsleg gave quick glance number handed cabot asked cabot checked number yes remember bruise,Murder in the Gunroom.txt
judged rural freelance antiqueprospectorextended object girl repugnance african sword right plain iron hilt crossguard design looked berber workmanship lowgrade probably attributable even barbarous people scabbard really surprising liked kind surprise infant crocodile rather indifferently smokecured sword simply went creature jaw extended length body tail either end moldygreen leather thong fastened two front paw shoulderbaldric new rand thought must given wearer really distinctive aroma even africa drew blade gingerly looked sheathed caution east african danakil somali something like commented damn good careful scratch youll need gallon antitetanus shot ythink might poisoned man dirty neck monthold haircut inquired eagerly see miss lawrence told real african native sword got thatthere hen sourbaw feltonville uncle reverend sourbaw used preach hemlock gap church brung africa fifty year ago used missionary younger day make awful good price thatthere item miss lawrence god forbid exclaimed customer heavy drinker wouldnt want answer might happen saw thing suddenly oh,Murder in the Gunroom.txt
one old cobbler bench sort used thing cocktailtables tool polish oil rag hed fallen one side lying beside revolver right hand oily rag left revolver hed brought home rand asked dont know replied showed confederate revolver came home dirty dusty didnt touch didnt look closely one hand floor size design thats could swear continued something argument walter butler offered call police he english mind seems run naturally due process law fred anton howled proposal wanted part police time geraldine going hysteric trying get quieted took room gave couple sleepingpills went back gunroom gone seems anton called family doctor dr yardman fred called humphrey goode lawyer goode life next door u two hundred yard away arrived almost doctor came called coroner arrived hour later went huddle decided obvious accident inquest would necessary somebody im sure called undertaker past eleven arrived nelda got home early coming carrying lane basket imagine horrible day,Murder in the Gunroom.txt
butler picked bag conducted short flight concrete step landing door opening short hall open door gave access longer hall stretching front house third door closed probably led servant domain rand followed guide open door long hall passed arch extend front door door either side midway arch front stairway one right diningroom walter explained one left library seemed still suffering ignominy admitting houseguest main portal emerging front hallway put bag took rand hat coat laid top luggage went open doorway right standing coughing delicately announcing colonel rand gladys fleming wearing pale blue frock came forward rand entered parlor hand extended two woman big parlor remained motionless would sister geraldine varcek nelda dunmore rand didnt wonder resented gladys bitterly economic consideration aside girl seldom enthuse stepmother near age much beautiful good afternoon colonel rand gladys said mr varcek indicated pale blonde sat slumped deep chair beside low cocktailtable highball hand mr dunmore,Murder in the Gunroom.txt
end hung pierre weapon rand went slowly around room taking everything arm issue military type showed alteration suit individual requirement pierre told evening emphasis upon weapon illustrated technique combat end room lighted wide window long desk really writer assembly line typewriter referencebooks stack note manuscript big dictionary stand beside comfortable swivelchair writing rand asked sciencefiction lot story pulp pierre told spacetrails world wonderstories mag like standardized formulastuff whats known trade spaceoperas best stuff go astonishing parenthetically mustnt judge magazine name seems convention use hyperbolic name sciencefiction magazine heritage might called earlier ruder day astonishing really hard work enjoy im working one based j w dunnes timetheories know think rand said polydimensional time isnt based effect dunne observed describeddreams obviously related waking event preceding rather following event related read dunnes experiment time year war nothing better recorded dream month got doubtfultofair example two unmistakable dunneeffect dream never got anything would help,Murder in the Gunroom.txt
made used metric measurement youll find pair english dueling pistol early almost indistinguishable thing supposed made gunsmith working fine working sixteenthinches didnt measuring instrument time closer work wont bother taking thing apart id bet wall street junior piggybank id find screw machinethreaded workingparts interchanged ive heard fake like thesehe named famous recently liquidated west coast collectionbut id never hoped see example like goode gave hacking chuckle youll armsexpert mr rand said youd win piggybank seems mr fleming bought took apart found say screwthreads machinecut workingparts interchangeable one pistol lot paper accompanying themi herepurporting show sold austrian nobleman antinazi refugee whose family since reign maximilian ii course fabrication looked family almanach de gotha simply never existed first mr fleming inclined take view river equally victimized however river refused take back pistol refund purchase price altered opinion placed hand instructing bring suit also start criminal action fearful rage swore hed drive river,Murder in the Gunroom.txt
mr dunmore coup talked coroner decided would need inquest doctor wrote certificate rand looked section pistolrack devoted colt one asked oh sir walter replied coroner took away hasnt returned yet well business keeping part collection belongs estate yes sir may say thought bit highhanded taking away wasnt place say anything well ill make mine revolver im told valuable let damned countyseat politician walk thought occurred find he disposed county going need new coroner least till present incumbent get jail buzzer extension phone went like annoyed rattlesnake walter scooped spoke listened moment handed rand sir mr fleming colonel rand carl gwinnett commissiondealer told gladys told want talk yes understand lady want cash dont want collection peddled piecemeal right send ill talk minute later short compactlooking man fortyodd entered gunroom shifting brief case left hand extending right rand advanced meet shook hand youre colonel rand enjoyed article rifleman said mr fleming tell,Murder in the Gunroom.txt
ammunition couple spare clip right ill rosemont inn five thirty ritter promised say tip morning lot dope fleming estate want let shall give see note bring along ill seeing couple hour parted gresham going getting car gresham got car garage drove toward pierre jarretts house rand started opposite direction toward rosemont halfmile gresham caught advancing gleam white highway ahead pulled side road waiting state police car drew stopped mick mckenna aarvo kavaalen third man nordic type untidy brown suit hi jeff mckenna greeted rand got car came across road gu olsen investigator da office jeff rand tristate agency introduced hey olsen yelled lookin rand raised eyebrow mckenna came going state police sergeant surmised gresham home he gone rand said another man going help check whats missing fleming collection hey olsen exploded told run ahead u tipoff gresham skipped rand wanted know whats screaming mick like dont know olsen vociferated tipped,Murder in the Gunroom.txt
lawsuit criminal action death lane fleming chapter rand came breakfast next morning found gladys nelda man decided elimination must anton varcek already table latter rose rand entered bowed jerkily gladys verified guess introduction rand age height smoothshaven tightmouthed face adorned bushy eyebrow almost heavy rand mustache face seemed tantalizingly familiar rand puzzled moment nodded mentally course seen face like hundred time newsreel newsphotos prewar berlin living double rudolf hess wondered much deeper resemblance went tried let prejudice nelda greeted trowelful sweetness dash bedroombait gladys waved vacant seat right summoned maid serving breakfast rand indicated preference fruit found else eat inquired others oh freds still dressing hell minute nelda told geraldine wont never eats breakfast varcek winced slightly shifted subject inquiring rand professional antiquesexpert im lilypure amateur rand told took job collection im supposed something authority business operating private detective agency armsexpert varcek inquired making sort detective investigation thats right rand,Murder in the Gunroom.txt
surprised even shocked shock probably concession good taste surprise looked genuine die must sudden saw day ago looked right course he trouble lung sudden time last night person person unknown gave buttandbayonet job german mauser rack shop unpleasantly thorough job went see morning hoping badger something pistol missing fleming collection found body notified state police came god sake shock genuine police idea foggiest fleming pistol turn place might think something far though havent gave shop onceoverlightly cop arrived couldnt find anything tried take puff cigarette found broken finger lit new one mangled butt happen tried make question sound casual couldnt say either around midnight would guess might able fix noearlier time idea occurred smiled thats dreadful really meant terrible thing happen anybody killed like stopped short adding even river instead continued cant say im really sorry he dead colonel outside maybe wife gunsmith made fake walker colt north cheney flintlock,Murder in the Gunroom.txt
course maid sleep hasnt gotten yet howd go last night put dummy cover sleep floor last night safe blowoff isnt due till morning woman church hell catch fallguy together want ritter asked giving unbutlerlike hitch shoulderholster stand official dignity get cleaningup work till dinner wont buttling till woman get home church case varcek dunmore come see either rodheavy find anything last night ritter shook head searched varceks lab everybody bed searched car garage lot place didnt find whoever chance room look back book library rand asked ritter shook head continued thats probably make whole lot difference id found itd given something watch id know fun going start ritter broke suddenly yes sir coffee later sir gladys entered wearing blue tailored outfit worn rand office wednesday ease ease laughed dropping chair anything new rand shook head well wait im expecting action morning hope itll youre home church looked seriously jeff youre,Murder in the Gunroom.txt
ill tell whole thing actually know forced guess merger idea first took shape last summer dunmore saw unalterably opposed mr fleming began wishing way time later decided something suppose anton varcek gave idea first place jabber danger firearm accident dunmore decided hed fix one mr fleming first hed need firearm collector type good working order couldnt one gun collection hed keep loaded time waiting opportunity use couldnt take weapon collection would missed couldnt load one hang would discovered get one got arnold river know mean thats guess know gun got river colt navymodel serial number rand told river gun last summer refinished gunsmith named umholtz umholtz refinished gun river shop november last year sold river personally revolver found lane fleming hand one got coroner letter vouching fact found finished cocktail gladys picked shaker mechanically refilled glass dunmore colt loaded powder cap bullet ammunition supply gunroom waiting chance use also millpack,Murder in the Gunroom.txt
important type special emphasis british arm american arm im interested evolution pistol couple wheel lock start three migueletlocks italian snaphaunce early flintlock number mideighteenthcentury type late flintlock percussion type twenty colt percussion revolver early cartridge type modern arm including world war ii arm see idea lane fleming pierre said collect personal combatarms firearm edgeweapons arm either influenced fighting technique developed meet special combat condition say youre mainly interested way firearm designed made im interested condition used adam trehearne wholl shortly collect pistol longarms wheel lock protoflintlock early flintlock philip cabot collect u martial flintlock automatic also enemy allied army weapon war colin macbride collect nothing colt odd scot who country twenty year become interested distinctively american type collect anything sell profit chinese matchlock tommyguns karen lawrence interjected coming room dot gresham pierre grinned karen practically unique specimen generalantique dealer ive ever seen doesnt hate sight guncollector thats im crazy enough,Murder in the Gunroom.txt
small particularly evillooking automatic rand chuckled oh climbed squatted beside replied got telling goode could bribe know one thing another goodes beginning become unamusing smoked silence moment ought indignant filling house spy said circumstance im afraid im thankful instead ops good egg way he way bring u drink ought sore retaining mess like telling nothing rand told idea anyhow wanted investigate husband murder along didnt ii hadnt thing go replied afraid came told suspected youd think another case feminine damfoolishness dismiss knew wasnt accident lane didnt accident gun hed wanted kill hed done left note explaining didnt single fact give thought came started working collection youd find something taken chance told suspected rand said ive taken lot case flimsier ground fact practically told murder talking office jeff never soapoperas call love lane continued wonderful gave everything girl grew sixteendollar apartment fruit store could want somebody killed youd step cockroach got,Murder in the Gunroom.txt
card leech rigdon mr fleming rand released puff pipe smoke watched draw downward fireplace ive retained handle sale collection naturally id know offering much river eye narrowed came around desk loading another cigarette holder might ask mr fleming think order employ detective matter like wanted know rand let smoke didnt employed armsexpert colonel jefferson davis rand usa orc wellknown contributor american rifleman infantry journal antique old gun report youve read article believe youre making investigation world investigate rand asked im selling lot old pistol fleming estate thought fred dunmore fred youre wrong though got goodes letter authorization handed river read twice handing back see anything fred dunmore relativesinlaw asked well didnt understand im glad know situation really river frowned thought making kind investigation im party making serious offer buy pistol wanted know investigate consider ten thousand dollar serious offer rand asked arent forgetting stephen gresham friend oh people river scoffed,Murder in the Gunroom.txt
told purpose rand picked outside phone dialing moment girl voice answered carter tiptons lawoffice good afternoon hello rheba tip available oh hello jeff sec ill see buzzed another phone jeff rand line announced clear slightly harvardaccented male voice took hello jeff sort malfeasance committed nothing farcross finger rand replied want little information busy okay ill directly replaced phone turned disciple client said want two job done one fee getting pistolcollection sold one job exploring why wherefore quote accident unquote hunch probably nothing much better there something sour accident expects find evidence effect im rosemont going collection im excluding possibility ill work line unless find differently five thousand cover job think thats kathie asked look kathie got far arithmetic school suspect mr fleming got least far long division reason stated simply couldnt handled collection business anything like reasonable fee told five thousand thinking would stop didnt knew something else mind went,Murder in the Gunroom.txt
rifleman ive gotten nambu japanese model polish radom italian glisenti tokarev course p canadian browning going take devil time hope nobody start another war year till get caught last one rand looking confederate revolver griswold grier haiman brother tucker sherrod dance brother park spiller burrthere leech rigdon tapped cylinder finger wasnt one thing killed lane fleming asked leech rigdon im told cabot hesitated jeff saw revolver four hour fleming shot hand looked carefully shook head absolutely loaded empty rust chamber hell get shot rand wanted know couldnt say im telling didnt get shot thursday id come halfway town remembered hadnt bought copy time stopped biddles drugstore village one getting car outside lane fleming drove saw blew horn waved revolver hand went looked told hed found hanging back counter barbecuestand road rosemont join route pistol went see later trash leech rigdon decent thing fleming talked fellow ten dollar disgustingly gleeful particularly,Murder in the Gunroom.txt
whose work also hobby he biochemist dietitianand lane gunroom second floor working new revolver fred dunmore bath geraldine taken coffee east parlor geraldine put radio listening must program changed first commercial heard loud noise somewhere upstairs neither u thought shot first idea door slamming five minute later heard anton upstairs hall pounding door shouting lane lane right ran front stairway found anton rubber labapron fred bathrobe barefooted standing outside gunroom door door locked unusual there yale lock nobody ever used minute stood anton explaining heard shot nobody gunroom answered geraldine told rather impatiently go library spiral see explained library directly gunroom there spiral stairway connecting two room anton went downstairs stood waiting hall fred shivering bathrobe said hed jumped bathtub nothing anton opened gunroom door inside stood doorway blocking said youd better come there accident late anything lane shot one damned pistol always knew something like would happen well simply,Murder in the Gunroom.txt
kind hell silent moment look see home two thirty afternoon want talk rand smiled happily looked like angling maybe arnold river hadnt died vain yes make replied good see rand assured would hand returned table found lunch waiting sat ate good appetite finishing another drink sat sipping slowly smoking pipe going story gladys fleming told gossip gotten carter tipton statement made different people death lane fleming conclusion reached theft pistol killing arnold river sorting inference description descriptive statement others thing observed glass empty pipe burned left tip beside ashtray paid check went two hour meeting stephen gresham knew exactly spend county seat normal twenty minute drive rosemont road relatively free traffic able cut fifteen parking car front courthouse went inside coroner one jason kirchner inoffensivelooking little fellow caspar milquetoast mustache underslung jaw wore elk watchcharm odd fellow ring knight pythia lapelpin looked rand credential including letter humphrey goode given bewilderment,Murder in the Gunroom.txt
gestapo gathered pierre jarrett seem gotten idea motive may competition collection next thing farnsworth think case carl gwinnett hell land jug hope realize every time something like happens peel thousand price ill able get people pistol dunmore didnt try ask would happen rand duly thankful accepted statement uncritically walter staring rand horror saying nothing rand picked outside phone dialed number called river place morning sergeant mckenna fine id like speak oh hello mick jeff rand mckenna chuckled receiver sort slipped one didnt gloated checking people gresham last evening agreed young jarrett lawrence girl left party ten talk miss lawrence tried tell jarrett apartment antique shop ten fifteen twelve another girl room got home date id took right across street antique shop one old hen like find every neighborhood kind keep nose flattened window curtain checking neighbor spotted came antique shop slipped around see told young jarrett went apartment girl quarter,Murder in the Gunroom.txt
ritter rosemont inn gone state police substation talked length mick mckenna compelled tell state police sergeant number thing intended keeping mckenna went far admit trifle hasty arresting pierre jarrett rand suspected mentally kicking hobnailed boot premature act also submitted mckennas approval scheme outlined dave ritter obtained promise cooperation entered fleming library en route gunroom found entire family assembled humphrey goode came broke evidently acrimonious dispute gave undivided attention geraldine relaxed chair smoking didnt glass hand gladys occupied another chair smoking nelda pacing back forth like caged tiger rand entrance turned face rand wondered whether thought clyde beatty side beef goode dunmore sat together sofa forming looked like bilateral offensive defensive alliance varcek looking ever like rudolf hess stood folded arm one corner see rand dunmore began soon detective inside room want know exactly youre working around demand know youve since left evening goode piped must protest strongly involvement local murder,Murder in the Gunroom.txt
competition let get big save damnsight bigger loss later soon think pistol sold gladys asked oh month outside rand said continuing explain done first well im glad varcek commented never liked thing happened sooner sold better breakfast finally ended varcek dunmore left premix plant rand debated moment wisdom speaking gladys missing pistol decided wait suspicion better verified minute gunroom going lane fleming armsbooks shelf workbench without finding trace book catalogued collection got hat coat went garage took car stopped raining time dingy sky showed broken spot like bit bluing badlyrusted piece steel got car front arnold river redbrick house wondering going go wanted door shop unlocked opened slow clanging doorchime interior dark shade pulled light moment rand stood doorway adjusting eye darkness within wondering everybody path light fell inward open door saw two foot tan shoe toe end tweedtrousered leg floor instant later stepped inside pulled door shut using penlight,Murder in the Gunroom.txt
cabot didnt know karen hand growing worried look colonel began didnt pull pierre name hat must something suspect yes shouldnt lied mckenna checked story woman across street told seeing pierre leave little eleven come back half hour later afraid karen said forgot old hag there nothing go around doesnt know pierre call mr g rand continued mckenna claim car like pierre seen parked river drive time pierre away mr jarrett moaned softly face already haggard became positively ghastly karen gasped fright identified model make didnt get license number pierre go away went cigarette karen said came gresham made coffee sat talked found cigarette werent pierre said hed go get gone half hour came back carton hot pork sandwich hed gotten place cigarettesart igoes lunchstand could igoe verify wouldnt help igoes place isnt fiveminute drive river farther road pierre lawyer rand asked yet talking dad would defend dot suggested course he,Murder in the Gunroom.txt
much better many men twenty year junior business worry company well large government contract war reconversion problem afterward order plant capacity fill mr fleming consulting architect plant expansion spared serious labor trouble mr fleming wife devoted family trouble rand raised eyebrow last inquired varcek flushed please colonel rand must judge seen since came lane fleming alive scene library last evening would unthinkable family like ship without captain since think shot either deliberately inadvertently remains alternative shot somebody else either deliberately improbably inadvertence rand said think latter safely disregarded let agree murder go varcek nodded investigating asked appraising selling pistol collection rand told wearily curious killed fleming course protection like know background situation involved think humphrey goode would bring stir lot sleeping dog might awake grab pantsseat think uproar library last evening prearranged act thought humphrey goode understanding mr fleming brought mr fleming want money collection soon possible rand said reopen,Murder in the Gunroom.txt
client said want two job done one fee getting pistolcollection sold one job exploring why wherefore quote accident unquote hunch probably nothing much better there something sour accident expects find evidence effect im rosemont going collection im excluding possibility ill work line unless find differently five thousand cover job think thats kathie asked look kathie got far arithmetic school suspect mr fleming got least far long division reason stated simply couldnt handled collection business anything like reasonable fee told five thousand thinking would stop didnt knew something else mind went detail death husband good told im sorry didnt say ten thousand think shed bought price cheerfully think lane fleming murdered well face told right professor expound ritter said heard supposed shot rand began colttype percussion revolver know theyre like know enough lane fleming know much experience old arm cant believe hed buy pistol without carefully examining cant believe hed bring,Murder in the Gunroom.txt
lawrence neednt worry arnold river offer ha backed shoved rand corrected sharp end mauser bayonet sometime last night found body morning went see notified state police call murder course theyre prejudiced id call nuisanceabatement project look kidding gresham demanded never kid passed rand denied piously recited already hackneyed description happened river careful attention gruesome detail called copper directly sergeant mckennas stump looking direction suspect gresham silent moment swore softly god jeff going raise kind hell silent moment look see home two thirty afternoon want talk rand smiled happily looked like angling maybe arnold river hadnt died vain yes make replied good see rand assured would hand returned table found lunch waiting sat ate good appetite finishing another drink sat sipping slowly smoking pipe going story gladys fleming told gossip gotten carter tipton statement made different people death lane fleming conclusion reached theft pistol killing arnold river sorting inference description descriptive,Murder in the Gunroom.txt
deal course know collection sale river offering buy dunmore asked sharply tell naturally account presence river shop morning rand replied dont know idea occurred somebody might killed river eliminate rival bidder collection wouldnt say anything might give idea extension phone rang shrilly walter picked spoke listened moment yes miss lawrence he right wish speak handed phone across desk rand miss karen lawrence colonel rand rand took phone time say hello antiqueshop girl demanded colonel rand must tell truth anything pierre jarretts arrested rand barked softened voice honor miss lawrence knew nothing moment olsen dont know name state police sergeant replied another state policeman came jarrett house half hour ago charged pierre murder arnold river took away mother phoned minute ago goddamned twofaced jesuitical bastard rand exploded shop mr jarrett coming shes afraid reporter coming house soon hear doesnt want talk right ill soon there anything help count hung turned walter,Murder in the Gunroom.txt
rosemont passing little antique shop slowed backed read name karen lawrence window pulled curb got crossing sidewalk went step door entering jangling springmounted cowbell girl dealer inside visitor sallowfaced untidylooking man indeterminate age opening newspaperwrapped package tabletop karen greeted rand name military rank rand told hed look around till tossed look comic reproach though counted rid man package look thishere miss lawrence man enthusing undoing another package here something know youll want think thishere real quaint look displayed long narrow dark object holding aint thishere interestin item miss lawrence ooooooh heaven name thing demanded thattheres sword real african native sword look scabbard made real crocodileskin whole young crocodile head foot tell miss lawrence thatthere item unique revolting repulsive object thats ever brought shop saying quite lot colonel rand dont hangover morning please come look thing rand laid merril carbine examining walked beside karen manwhom rand judged rural freelance antiqueprospectorextended object,Murder in the Gunroom.txt
